method_eco,method_comm,scenario,budget,budget_M,roadside_built,total_cost,te,habitat,rancher,hunter,recreationist,n_conservation_alts,n_alt3,n_alt1,n_alt7,choices
vector,global_linear,T&E emphasis,20000000,20.0,False,19947151.51967968,0.719685756763169,0.48314992618108965,14.583333333333332,15.777777777777782,11.888888888888884,1,10,4,1,"3,3,3,3,3,3,3,7,3,11,11,11,11,10,3,10,1,1,3,1,1"
vector,global_linear,T&E emphasis,40000000,40.0,False,33261176.58220142,0.8642302785694415,0.3033138697887346,16.166666666666664,15.388888888888895,15.333333333333332,3,18,0,3,"3,3,3,3,7,3,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,T&E emphasis,60000000,60.0,False,33261176.58220142,0.8642302785694415,0.3033138697887346,16.166666666666664,15.388888888888895,15.333333333333332,3,18,0,3,"3,3,3,3,7,3,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Habitat emphasis,5000000,5.0,True,4979879.2719159685,0.22020940684194681,0.3122362291524723,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
vector,global_linear,Habitat emphasis,10000000,10.0,True,9994671.064265842,0.2617973044771498,0.5028634724284211,13.166666666666666,15.055555555555557,5.555555555555556,0,5,4,0,"11,3,3,3,11,11,11,3,11,11,11,11,11,11,11,11,1,1,3,1,1"
vector,global_linear,Habitat emphasis,20000000,20.0,True,19977058.151837554,0.2657293589395182,0.4999860923607035,16.041666666666664,16.22222222222223,12.666666666666663,0,14,5,0,"3,3,3,3,3,3,3,3,3,3,11,3,3,10,3,1,1,1,3,1,1"
vector,global_linear,Habitat emphasis,40000000,40.0,False,31427563.515999466,0.8818406913959641,0.9374650911992032,14.5,14.000000000000005,15.333333333333332,4,17,0,4,"3,3,3,3,7,3,3,7,3,3,3,3,3,3,3,3,3,7,3,7,3"
vector,global_linear,Habitat emphasis,60000000,60.0,False,31427563.515999466,0.8818406913959641,0.9374650911992032,14.5,14.000000000000005,15.333333333333332,4,17,0,4,"3,3,3,3,7,3,3,7,3,3,3,3,3,3,3,3,3,7,3,7,3"
vector,global_linear,Community priority,5000000,5.0,True,4979879.2719159685,0.22020940684194681,0.3122362291524723,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
vector,global_linear,Community priority,10000000,10.0,False,9991987.52948384,0.1980802075681328,0.26342031498284374,12.291666666666668,15.22222222222222,6.777777777777778,0,5,1,0,"10,3,3,3,11,11,11,3,3,11,11,11,11,11,11,10,11,1,10,11,11"
vector,global_linear,Community priority,20000000,20.0,False,19992216.31836652,0.20823686782016587,0.23034500092907437,15.666666666666666,16.22222222222223,13.666666666666663,0,15,0,0,"10,3,3,3,3,3,3,3,3,11,11,11,3,10,3,3,10,3,3,3,3"
vector,global_linear,Community priority,40000000,40.0,True,23782387.46941933,0.2217397673707323,0.24505325719597496,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Community priority,60000000,60.0,True,23782387.46941933,0.2217397673707323,0.24505325719597496,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Rancher-conservation,5000000,5.0,True,4986330.577044,0.23294527139092433,0.3655350576983605,11.25,14.33333333333333,0.4444444444444444,0,0,2,0,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,11,11"
vector,global_linear,Rancher-conservation,10000000,10.0,False,9909687.092697904,0.16472312245623236,0.46927564364597496,13.791666666666666,15.388888888888895,3.8888888888888897,0,3,7,0,"11,11,3,3,11,11,11,11,11,11,11,11,11,3,1,1,1,1,1,1,1"
vector,global_linear,Rancher-conservation,20000000,20.0,False,19943588.08675249,0.23799367604388513,0.44451603958227554,16.458333333333336,16.111111111111118,11.999999999999995,0,16,3,0,"3,3,3,3,3,11,3,3,11,3,3,3,3,3,3,3,1,1,3,1,3"
vector,global_linear,Rancher-conservation,40000000,40.0,True,23782387.46941933,0.2217397673707323,0.24505325719597496,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Rancher-conservation,60000000,60.0,True,23782387.46941933,0.2217397673707323,0.24505325719597496,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Hunter-recreationist,5000000,5.0,True,4979879.2719159685,0.22020940684194681,0.3122362291524723,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
vector,global_linear,Hunter-recreationist,10000000,10.0,False,9982982.922261873,0.1816523821961015,0.1886279375556406,12.083333333333334,15.444444444444441,6.666666666666667,0,4,0,0,"10,10,3,3,11,11,11,3,3,11,11,11,11,11,11,10,11,10,10,11,11"
vector,global_linear,Hunter-recreationist,20000000,20.0,False,19996653.545480616,0.20995349246141376,0.23938375588540842,14.916666666666666,17.055555555555554,13.333333333333332,0,12,0,0,"3,3,3,3,3,3,3,3,3,3,11,11,10,10,10,10,10,10,10,3,3"
vector,global_linear,Hunter-recreationist,40000000,40.0,True,23782387.46941933,0.2217397673707323,0.24505325719597496,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Hunter-recreationist,60000000,60.0,True,23782387.46941933,0.2217397673707323,0.24505325719597496,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
within_unit,global_linear,Balanced,5000000,5.0,True,4970423.347370001,1.8889024565875283,1.9945945695524225,11.0,14.22222222222222,0.5555555555555556,0,0,2,0,"11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11"
within_unit,global_linear,Balanced,10000000,10.0,True,9946936.162692968,3.504114029484035,3.6098061424489294,13.291666666666666,15.222222222222225,3.3333333333333335,0,1,9,0,"11,3,1,1,11,11,11,1,11,11,11,11,11,11,11,1,1,1,1,1,1"
within_unit,global_linear,Balanced,20000000,20.0,False,19946504.378437966,7.6165862042081125,8.03160572695701,13.583333333333332,14.611111111111118,7.333333333333332,3,1,15,3,"3,7,1,7,1,1,1,1,1,11,11,1,1,1,1,1,1,1,7,1,1"
within_unit,global_linear,Balanced,40000000,40.0,False,39902636.3582136,14.19930371740361,15.477465822964307,8.208333333333334,9.277777777777779,12.444444444444438,13,0,8,13,"7,7,7,7,7,1,1,7,7,1,1,1,1,1,7,7,7,7,7,7,1"
within_unit,global_linear,Balanced,60000000,60.0,False,59880328.29678419,18.27524307118542,20.27524307118542,4.416666666666667,5.666666666666668,15.111111111111109,20,0,1,20,"7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7"
within_unit,global_linear,Conservation priority,5000000,5.0,True,4959691.812724,2.2375817022302305,2.3432738151951247,10.0,13.333333333333329,0.6666666666666666,1,0,0,1,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11"
within_unit,global_linear,Conservation priority,10000000,10.0,True,9976335.962165,5.209829894955927,5.315522007920822,8.666666666666668,12.33333333333333,3.222222222222222,7,0,0,2,"11,7,4,4,11,11,4,4,11,11,11,11,11,11,11,11,11,11,7,4,11"
within_unit,global_linear,Conservation priority,20000000,20.0,False,19991605.561476,10.054215812706179,10.090024065258582,5.166666666666667,9.555555555555559,6.555555555555555,17,0,0,4,"11,7,4,7,4,4,4,4,4,11,4,4,4,11,11,4,4,7,7,4,4"
within_unit,global_linear,Conservation priority,40000000,40.0,False,39884507.122633606,15.317480562197247,17.317480562197247,3.8333333333333326,5.888888888888889,12.444444444444438,21,0,0,14,"7,7,7,7,4,4,4,7,7,6,4,4,5,7,7,7,7,7,7,7,7"
within_unit,global_linear,Conservation priority,60000000,60.0,False,59083328.65396619,18.566058674857317,20.566058674857317,3.8333333333333326,5.1111111111111125,14.666666666666664,21,0,0,20,"7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7"
within_unit,global_linear,T&E emphasis,5000000,5.0,True,4959691.812724,2.2375817022302305,2.3432738151951247,10.0,13.333333333333329,0.6666666666666666,1,0,0,1,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11"
within_unit,global_linear,T&E emphasis,10000000,10.0,True,9976335.962165,5.209829894955927,5.315522007920822,8.666666666666668,12.33333333333333,3.222222222222222,7,0,0,2,"11,7,4,4,11,11,4,4,11,11,11,11,11,11,11,11,11,11,7,4,11"
within_unit,global_linear,T&E emphasis,20000000,20.0,False,19991605.561476,10.054215812706179,10.090024065258582,5.166666666666667,9.555555555555559,6.555555555555555,17,0,0,4,"11,7,4,7,4,4,4,4,4,11,4,4,4,11,11,4,4,7,7,4,4"
within_unit,global_linear,T&E emphasis,40000000,40.0,False,39773041.4334584,16.144473206456624,16.18028145900903,4.333333333333333,6.000000000000001,11.33333333333333,19,0,0,13,"11,7,7,7,6,4,4,7,7,6,6,5,7,11,7,7,7,7,7,7,7"
within_unit,global_linear,T&E emphasis,60000000,60.0,False,59083328.65396619,18.566058674857317,20.566058674857317,3.8333333333333326,5.1111111111111125,14.666666666666664,21,0,0,20,"7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7"
within_unit,global_linear,Habitat emphasis,5000000,5.0,True,4959691.812724,2.2375817022302305,2.3432738151951247,10.0,13.333333333333329,0.6666666666666666,1,0,0,1,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11"
within_unit,global_linear,Habitat emphasis,10000000,10.0,True,9976335.962165,5.209829894955927,5.315522007920822,8.666666666666668,12.33333333333333,3.222222222222222,7,0,0,2,"11,7,4,4,11,11,4,4,11,11,11,11,11,11,11,11,11,11,7,4,11"
within_unit,global_linear,Habitat emphasis,20000000,20.0,False,19990023.054961998,9.491878235921227,10.39451525682213,4.666666666666666,9.555555555555559,6.5555555555555545,19,0,0,3,"4,7,4,7,4,4,4,4,4,11,4,4,4,4,11,4,4,4,7,4,4"
within_unit,global_linear,Habitat emphasis,40000000,40.0,False,39884507.122633606,15.317480562197247,17.317480562197247,3.8333333333333326,5.888888888888889,12.444444444444438,21,0,0,14,"7,7,7,7,4,4,4,7,7,6,4,4,5,7,7,7,7,7,7,7,7"
within_unit,global_linear,Habitat emphasis,60000000,60.0,False,59083328.65396619,18.566058674857317,20.566058674857317,3.8333333333333326,5.1111111111111125,14.666666666666664,21,0,0,20,"7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7"
within_unit,global_linear,Community priority,5000000,5.0,True,4979879.2719159685,1.2508718214731296,1.3565639344380238,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
within_unit,global_linear,Community priority,10000000,10.0,False,9969937.797478873,2.1979065705457743,2.233714823098179,13.083333333333332,15.444444444444446,5.555555555555556,0,4,4,0,"11,3,3,3,11,11,11,3,11,11,11,11,11,10,11,1,11,1,10,1,1"
within_unit,global_linear,Community priority,20000000,20.0,False,19997429.387486618,3.3438122919769686,3.516477961717576,16.083333333333336,16.33333333333334,12.111111111111105,0,12,8,0,"3,3,3,3,3,3,3,3,3,1,1,3,3,10,1,1,1,1,3,1,1"
within_unit,global_linear,Community priority,40000000,40.0,False,39648356.00150992,6.627581695726777,6.764439112914979,15.166666666666666,14.55555555555556,15.333333333333332,6,15,0,6,"3,3,7,7,7,7,3,7,7,3,3,3,3,3,3,3,3,3,3,3,3"
within_unit,global_linear,Community priority,60000000,60.0,False,43245168.15450396,7.437487683951578,7.57434510113978,14.833333333333332,14.277777777777782,15.333333333333332,7,14,0,7,"3,3,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3"
within_unit,global_linear,Rancher-conservation,5000000,5.0,True,4986330.577044,1.7199060815008238,1.825598194465718,11.25,14.33333333333333,0.4444444444444444,0,0,2,0,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,11,11"
within_unit,global_linear,Rancher-conservation,10000000,10.0,True,9979111.851352,3.5383124978153973,3.6440046107802915,13.625,15.388888888888895,2.3333333333333335,0,0,10,0,"11,1,1,11,11,11,11,11,11,11,11,11,1,11,1,1,1,1,1,1,1"
within_unit,global_linear,Rancher-conservation,20000000,20.0,False,19979404.964611,7.251884720022201,7.530046825582896,14.791666666666666,15.611111111111118,6.11111111111111,2,0,18,2,"11,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
within_unit,global_linear,Rancher-conservation,40000000,40.0,False,39263708.7501816,12.071898835937295,13.350060941497992,11.708333333333334,12.611111111111114,11.111111111111104,10,0,11,10,"7,7,7,7,7,1,7,7,7,1,1,1,7,1,1,1,1,1,7,1,1"
within_unit,global_linear,Rancher-conservation,60000000,60.0,False,59262167.000045195,17.646954376649127,18.925116482209823,6.166666666666666,7.333333333333334,14.22222222222222,18,0,3,18,"7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,1,1"
within_unit,global_linear,Hunter-recreationist,5000000,5.0,True,4979879.2719159685,1.2508718214731296,1.3565639344380238,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
within_unit,global_linear,Hunter-recreationist,10000000,10.0,True,9979558.57821384,1.3315660398987383,1.4372581528636326,12.083333333333334,15.277777777777775,6.777777777777778,0,5,0,0,"10,3,3,3,11,11,11,3,3,11,11,11,11,10,11,10,11,11,10,11,11"
within_unit,global_linear,Hunter-recreationist,20000000,20.0,False,19932649.584466614,1.843886158410632,2.016551828151239,14.999999999999998,16.944444444444446,13.222222222222221,0,12,1,0,"3,3,3,3,3,3,3,3,3,11,11,3,1,10,10,10,10,10,10,3,3"
within_unit,global_linear,Hunter-recreationist,40000000,40.0,False,39481186.79846938,7.510219960762774,7.6470773779509775,14.666666666666666,14.388888888888893,15.22222222222222,7,13,0,7,"3,7,7,7,7,3,7,7,7,10,3,3,3,3,3,3,3,3,3,3,3"
within_unit,global_linear,Hunter-recreationist,60000000,60.0,False,44317366.97160901,8.339315481480924,8.476172898669127,14.333333333333332,14.111111111111116,15.22222222222222,8,12,0,8,"3,7,7,7,7,7,7,7,7,10,3,3,3,3,3,3,3,3,3,3,3"
