skewness,replicate,gini,concentration,method,eco_weight,budget_fraction,compressed_units,mean_alt_index,n_cheapest,n_best_conservation,n_unique_alts
uniform,7,0.2472320418231706,0.07853819542891016,vector,0.5,0.15,3,0.045454545454545456,21,0,2
uniform,7,0.2472320418231706,0.07853819542891016,vector,0.5,0.3,3,0.045454545454545456,21,0,2
uniform,7,0.2472320418231706,0.07853819542891016,vector,0.5,0.5,3,0.045454545454545456,21,0,2
uniform,7,0.2472320418231706,0.07853819542891016,vector,0.8,0.15,3,0.5909090909090909,15,0,4
uniform,7,0.2472320418231706,0.07853819542891016,vector,0.8,0.3,3,0.5909090909090909,15,0,4
uniform,7,0.2472320418231706,0.07853819542891016,vector,0.8,0.5,3,0.5909090909090909,15,0,4
uniform,7,0.2472320418231706,0.07853819542891016,within_unit,0.5,0.15,0,0.9545454545454546,12,0,5
uniform,7,0.2472320418231706,0.07853819542891016,within_unit,0.5,0.3,0,2.090909090909091,5,0,7
uniform,7,0.2472320418231706,0.07853819542891016,within_unit,0.5,0.5,0,3.6363636363636362,1,1,8
uniform,7,0.2472320418231706,0.07853819542891016,within_unit,0.8,0.15,0,0.9545454545454546,11,0,5
uniform,7,0.2472320418231706,0.07853819542891016,within_unit,0.8,0.3,0,2.272727272727273,5,1,8
uniform,7,0.2472320418231706,0.07853819542891016,within_unit,0.8,0.5,0,4.0,1,4,8
uniform,8,0.19718093197133157,0.07164416734141019,global_linear,0.5,0.15,0,0.3181818181818182,15,0,2
uniform,8,0.19718093197133157,0.07164416734141019,global_linear,0.5,0.3,0,0.3181818181818182,15,0,2
uniform,8,0.19718093197133157,0.07164416734141019,global_linear,0.5,0.5,0,0.3181818181818182,15,0,2
uniform,8,0.19718093197133157,0.07164416734141019,global_linear,0.8,0.15,0,0.9545454545454546,13,2,3
uniform,8,0.19718093197133157,0.07164416734141019,global_linear,0.8,0.3,0,2.1818181818181817,9,3,6
uniform,8,0.19718093197133157,0.07164416734141019,global_linear,0.8,0.5,0,3.6363636363636362,4,5,7
uniform,8,0.19718093197133157,0.07164416734141019,vector,0.5,0.15,1,0.0,22,0,1
uniform,8,0.19718093197133157,0.07164416734141019,vector,0.5,0.3,1,0.0,22,0,1
uniform,8,0.19718093197133157,0.07164416734141019,vector,0.5,0.5,1,0.0,22,0,1
uniform,8,0.19718093197133157,0.07164416734141019,vector,0.8,0.15,1,0.2727272727272727,16,0,2
uniform,8,0.19718093197133157,0.07164416734141019,vector,0.8,0.3,1,0.2727272727272727,16,0,2
uniform,8,0.19718093197133157,0.07164416734141019,vector,0.8,0.5,1,0.2727272727272727,16,0,2
uniform,8,0.19718093197133157,0.07164416734141019,within_unit,0.5,0.15,0,0.8636363636363636,10,0,4
uniform,8,0.19718093197133157,0.07164416734141019,within_unit,0.5,0.3,0,1.9090909090909092,6,1,7
uniform,8,0.19718093197133157,0.07164416734141019,within_unit,0.5,0.5,0,3.590909090909091,3,4,7
uniform,8,0.19718093197133157,0.07164416734141019,within_unit,0.8,0.15,0,0.9090909090909091,9,0,4
uniform,8,0.19718093197133157,0.07164416734141019,within_unit,0.8,0.3,0,2.1363636363636362,7,1,7
uniform,8,0.19718093197133157,0.07164416734141019,within_unit,0.8,0.5,0,3.6818181818181817,2,4,7
uniform,9,0.247075398353102,0.07459508538450751,global_linear,0.5,0.15,0,0.7727272727272727,14,1,5
uniform,9,0.247075398353102,0.07459508538450751,global_linear,0.5,0.3,0,0.9545454545454546,14,2,4
uniform,9,0.247075398353102,0.07459508538450751,global_linear,0.5,0.5,0,0.9545454545454546,14,2,4
uniform,9,0.247075398353102,0.07459508538450751,global_linear,0.8,0.15,0,1.0,17,2,5
uniform,9,0.247075398353102,0.07459508538450751,global_linear,0.8,0.3,0,2.1363636363636362,11,2,7
uniform,9,0.247075398353102,0.07459508538450751,global_linear,0.8,0.5,0,3.590909090909091,6,4,7
uniform,9,0.247075398353102,0.07459508538450751,vector,0.5,0.15,4,0.0,22,0,1
uniform,9,0.247075398353102,0.07459508538450751,vector,0.5,0.3,4,0.0,22,0,1
uniform,9,0.247075398353102,0.07459508538450751,vector,0.5,0.5,4,0.0,22,0,1
uniform,9,0.247075398353102,0.07459508538450751,vector,0.8,0.15,4,0.2727272727272727,17,0,3
