method,roadside_built,paddock,te_count,te_min,te_max,te_spread
within_unit,False,18,21.0,0.0,1.0,1.0
within_unit,False,19,28.0,0.0,1.0,1.0
within_unit,False,20,5.0,0.0,1.0,1.0
within_unit,False,21,16.0,0.0,1.0,1.0
within_unit,False,22,6.0,0.0,1.0,1.0
within_unit,True,1,0.0,0.0,0.0,0.0
within_unit,True,2,3.0,0.0,1.0,1.0
within_unit,True,3,9.0,0.0,1.0,1.0
within_unit,True,4,8.0,0.0,1.0,1.0
within_unit,True,5,58.0,0.0,1.0,1.0
within_unit,True,6,6.0,0.0,1.0,1.0
within_unit,True,7,28.0,0.0,1.0,1.0
within_unit,True,8,216.0,0.0,1.0,1.0
within_unit,True,10,2.0,0.0,1.0,1.0
within_unit,True,11,4.0,0.0,1.0,1.0
within_unit,True,12,5.0,0.0,1.0,1.0
within_unit,True,13,1.0,0.0,1.0,1.0
within_unit,True,14,2.0,0.0,1.0,1.0
within_unit,True,15,0.0,0.0,0.0,0.0
within_unit,True,16,2.0,0.0,1.0,1.0
within_unit,True,17,13.0,0.0,1.0,1.0
within_unit,True,18,21.0,0.0,1.0,1.0
within_unit,True,19,28.0,0.0,1.0,1.0
within_unit,True,20,5.0,0.0,1.0,1.0
within_unit,True,21,16.0,0.0,1.0,1.0
within_unit,True,22,6.0,0.0,1.0,1.0
