method,scenario,budget,budget_M,roadside_built,total_cost,n_conservation_alts,n_alt3,n_unique_alts,te_score,habitat_score,recreationist_score,hunter_score,rancher_score,alt_distribution
within_unit,Habitat emphasis,40000000,40.0,False,39884507.122633606,21,0,4,15.317480562197247,17.317480562197247,12.444444444444438,5.888888888888889,3.8333333333333326,"{""4"": 5, ""5"": 1, ""6"": 1, ""7"": 14}"
within_unit,Habitat emphasis,60000000,60.0,False,59083328.65396619,21,0,2,18.566058674857317,20.566058674857317,14.666666666666664,5.1111111111111125,3.8333333333333326,"{""6"": 1, ""7"": 20}"
within_unit,Community priority,5000000,5.0,True,4979879.2719159685,0,1,3,1.2508718214731296,1.3565639344380238,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
within_unit,Community priority,10000000,10.0,False,9969937.797478873,0,4,4,2.1979065705457743,2.233714823098179,5.555555555555556,15.444444444444446,13.083333333333332,"{""1"": 4, ""3"": 4, ""10"": 2, ""11"": 11}"
within_unit,Community priority,20000000,20.0,False,19997429.387486618,0,12,3,3.3438122919769686,3.516477961717576,12.111111111111105,16.33333333333334,16.083333333333336,"{""1"": 8, ""3"": 12, ""10"": 1}"
within_unit,Community priority,40000000,40.0,False,39648356.00150992,6,15,2,6.627581695726777,6.764439112914979,15.333333333333332,14.55555555555556,15.166666666666666,"{""3"": 15, ""7"": 6}"
within_unit,Community priority,60000000,60.0,False,43245168.15450396,7,14,2,7.437487683951578,7.57434510113978,15.333333333333332,14.277777777777782,14.833333333333332,"{""3"": 14, ""7"": 7}"
within_unit,Rancher-conservation,5000000,5.0,True,4986330.577044,0,0,2,1.7199060815008238,1.825598194465718,0.4444444444444444,14.33333333333333,11.25,"{""1"": 2, ""11"": 19}"
within_unit,Rancher-conservation,10000000,10.0,True,9979111.851352,0,0,2,3.5383124978153973,3.6440046107802915,2.3333333333333335,15.388888888888895,13.625,"{""1"": 10, ""11"": 11}"
within_unit,Rancher-conservation,20000000,20.0,False,19979404.964611,2,0,3,7.251884720022201,7.530046825582896,6.11111111111111,15.611111111111118,14.791666666666666,"{""1"": 18, ""7"": 2, ""11"": 1}"
within_unit,Rancher-conservation,40000000,40.0,False,39263708.7501816,10,0,2,12.071898835937295,13.350060941497992,11.111111111111104,12.611111111111114,11.708333333333334,"{""1"": 11, ""7"": 10}"
within_unit,Rancher-conservation,60000000,60.0,False,59262167.000045195,18,0,2,17.646954376649127,18.925116482209823,14.22222222222222,7.333333333333334,6.166666666666666,"{""1"": 3, ""7"": 18}"
within_unit,Hunter-recreationist,5000000,5.0,True,4979879.2719159685,0,1,3,1.2508718214731296,1.3565639344380238,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
within_unit,Hunter-recreationist,10000000,10.0,True,9979558.57821384,0,5,3,1.3315660398987383,1.4372581528636326,6.777777777777778,15.277777777777775,12.083333333333334,"{""3"": 5, ""10"": 4, ""11"": 12}"
within_unit,Hunter-recreationist,20000000,20.0,False,19932649.584466614,0,12,4,1.843886158410632,2.016551828151239,13.222222222222221,16.944444444444446,14.999999999999998,"{""1"": 1, ""3"": 12, ""10"": 6, ""11"": 2}"
within_unit,Hunter-recreationist,40000000,40.0,False,39481186.79846938,7,13,3,7.510219960762774,7.6470773779509775,15.22222222222222,14.388888888888893,14.666666666666666,"{""3"": 13, ""7"": 7, ""10"": 1}"
within_unit,Hunter-recreationist,60000000,60.0,False,44317366.97160901,8,12,3,8.339315481480924,8.476172898669127,15.22222222222222,14.111111111111116,14.333333333333332,"{""3"": 12, ""7"": 8, ""10"": 1}"
